id,title,summary,authors,primary_category,categories
physics/0001001v1,Capillary-gravity wave transport over spatially random drift,"We derive transport equations for the propagation of water wave action in the presence of a static, spatially random surface drift. Using the Wigner distribution $\W(\x,\k,t)$ to represent the envelope of the wave amplitude at position $\x$ contained in waves with wavevector $\k$, we describe surface wave transport over static flows consisting of two length scales; one varying smoothly on the wavelength scale, the other varying on a scale comparable to the wavelength. The spatially rapidly varying but weak surface flows augment the characteristic equations with scattering terms that are explicit functions of the correlations of the random surface currents. These scattering terms depend parametrically on the magnitudes and directions of the smoothly varying drift and are shown to give rise to a Doppler coupled scattering mechanism. The Doppler interaction in the presence of slowly varying drift modifies the scattering processes and provides a mechanism for coupling long wavelengths with short wavelengths. Conservation of wave action (CWA), typically derived for slowly varying drift, is extended to systems with rapidly varying flow. At yet larger propagation distances, we derive from the transport equations, an equation for wave energy diffusion. The associated diffusion constant is also expressed in terms of the surface flow correlations. Our results provide a formal set of equations to analyse transport of surface wave action, intensity, energy, and wave scattering as a function of the slowly varying drifts and the correlation functions of the random, highly oscillatory surface flows.",Guillaume Bal; Tom Chou,physics.flu-dyn,physics.flu-dyn; physics.ao-ph
hep-ex/0001002v1,Search for the Decay B0 -> D*0 gamma,"We report results of a search for the rare radiative decay B0 -> D*0 gamma. Using 9.7 million BB meson pairs collected with the CLEO detector at the Cornell Electron Storage Ring, we limit Br(B0->D*0 gamma) < 5.0 * 10^-5 at 90% CL. This provides evidence that anomalous enhancement is absent in W-exchange processes and that weak radiative B decays are dominated by the short-distance b -> s gamma mechanism in the Standard Model.",CLEO Collaboration,hep-ex,hep-ex; hep-ph
cond-mat/0001003v2,Luttinger Liquid Physics in the Superconductor Vortex Core,"We study several aspects of the structure of vortices in conventional s-wave Type $II$ superconductors. It is well-known that there are low energy quasiparticles bound to the core of a vortex. We show that under certain conditions, these quasiparticles form a degenerate Fermi gas with a finite density of states at the Fermi energy. In three dimensional superconductors, the result is a one dimensional Fermi gas of quasiparticles bound to the core of a vortex line. As is usual in one dimensional systems, interactions between the quasiparticles lead to Luttinger liquid behaviour. This may be probed through STM tunneling into the vortex core. We further suggest that a novel Peierls-type instability in the shape of the vortex line may develop due to interactions between the quasiparticle gas and fluctuations in the vortex line shape.",Ashvin Vishwanath; T. Senthil,cond-mat.supr-con,cond-mat.supr-con
astro-ph/0001001v1,Statistics of Turbulence from Spectral-Line Data Cubes,"Emission in spectral lines can provide unique information on interstellar turbulence. Doppler shifts due to supersonic motions contain information on turbulent velocity field which is otherwise difficult to measure. However, the problem of separation of velocity and density fluctuations is far from being trivial. Using atomic hydrogen (HI) as a test case, I review techniques applicable to emission line studies with the emphasis on those that can provide information on the underlying power spectra of velocity and density. I show that recently developed mathematical machinery is promising for the purpose. Its application to HI shows that in cold neutral hydrogen the velocity fluctuations dominate the small scale structures observed in spectral-line data cubes and this result is very important for the interpretation of observational data, including the identification of clouds. Velocity fluctuations are shown to dominate the formation of small scale structures that can be erroneously identified as diffuse clouds. One may argue that the HI data is consistent with the Goldreich-Shridhar picture of magnetohydrodynamic turbulence, but the cascade from the scales of several kpc that this interpretation involves does not fit well in the current paradigm of energy injection. The issue whether magnetic field does make the turbulence anisotropic is still open, but if this is the case, I show that studies of emission lines can provide a reliable way of determining magnetic field direction. I discuss various techniques for studying interstellar turbulence using emission lines, e.g. spectral correlation functions, genus statistics and principal component analysis.",A. Lazarian,astro-ph,astro-ph; cond-mat.stat-mech; physics.ao-ph; physics.flu-dyn; physics.plasm-ph; physics.space-ph
gr-qc/0001001v1,"Can Quantum Cosmology Give Observational Consequences of Many-Worlds
  Quantum Theory?","Although many people have thought that the difference between the Copenhagen and many-worlds versions of quantum theory was merely metaphysical, quantum cosmology may allow us to make a physical test to distinguish between them empirically. The difference between the two versions shows up when the various components of the wavefunction have different numbers of observers and observations. In the Copenhagen version, a random observation is selected from the sample within the component that is selected by wavefunction collapse, but in the many-worlds version, a random observation is selected from those in all components. Because of the difference in the samples, probable observations in one version can be very improbable in the other version.",Don N. Page,gr-qc,gr-qc
gr-qc/0001002v1,Evolution of thin-wall configurations of texture matter,"We consider the free matter of global textures within the framework of the perfect fluid approximation in general relativity. We examine thermodynamical properties of texture matter in comparison with radiation fluid and bubble matter. Then we study dynamics of thin-wall selfgravitating texture objects, and show that classical motion can be elliptical (finite), parabolical or hyperbolical. It is shown that total gravitational mass of neutral textures in equilibrium equals to zero as was expected. Finally, we perform the Wheeler-DeWitt's minisuperspace quantization of the theory, obtain exact wave functions and discrete spectra of bound states with provision for spatial topology.",Konstantin G. Zloshchastiev,gr-qc,gr-qc; astro-ph; hep-ph; hep-th
cond-mat/0001004v1,"Characterization of ferrimagnetic Heisenberg chains according to the
  constituent spins","The low-energy structure and the thermodynamic properties of ferrimagnetic Heisenberg chains of alternating spins $S$ and $s$ are investigated by the use of numerical tools as well as the spin-wave theory. The elementary excitations are calculated through an efficient quantum Monte Carlo technique featuring imaginary-time correlation functions and are characterized in terms of interacting spin waves. The thermal behavior is analyzed with particular emphasis on its ferromagnetic and antiferromagnetic dual aspect. The extensive numerical and analytic calculations lead to the classification of the one-dimensional ferrimagnetic behavior according to the constituent spins: the ferromagnetic ($S>2s$), antiferromagnetic ($S<2s$), and balanced ($S=2s$) ferrimagnetism.",Shoji Yamamoto; Takahiro Fukui; Toru Sakai,cond-mat.stat-mech,cond-mat.stat-mech; cond-mat.str-el
hep-th/0001003v1,"Comment on ""Metric Fluctuations in Brane Worlds""","Recently, Ivanov and Volovich (hep-th/9912242) claimed that the perturbation of $h_{\mu\nu}$ with nonvanishing transverse components $h_{5\mu}$ is not localized on the brane because $h_{\mu\nu}$ depends on the fifth coordinate $z$ linearly. Consequently, it may indicate that the effective theory is unstable. However, we point out that such linear dependence on $z$ can be {\it gauged away}. Hence the solution does not belong to the physical one. Therefore, even if one includes $h_{5\mu}$, Randall and Sundrum's argument for the localized gravity on the brane remains correct.",Y. S. Myung; Gungwon Kang,hep-th,hep-th; gr-qc
hep-ph/0001002v3,"Reconciling the Two-Loop Diagrammatic and Effective Field Theory
  Computations of the Mass of the Lightest CP-even Higgs Boson in the MSSM","The mass of the lightest CP-even Higgs boson of the minimal supersymmetric extension of the Standard Model (MSSM) has previously been computed including O(alpha alpha_s) two-loop contributions by an on-shell diagrammatic method, while approximate analytic results have also been obtained via renormalization-group-improved effective potential and effective field theory techniques. Initial comparisons of the corresponding two-loop results revealed an apparent discrepancy between terms that depend logarithmically on the supersymmetry-breaking scale, and different dependences of the non-logarithmic terms on the squark mixing parameter, X_t. In this paper, we determine the origin of these differences as a consequence of different renormalization schemes in which both calculations are performed. By re-expressing the on-shell result in terms of MS-bar parameters, the logarithmic two-loop contributions obtained by the different approaches are shown to coincide. The remaining difference, arising from genuine non-logarithmic two-loop contributions, is identified, and its effect on the maximal value of the lightest CP-even Higgs boson mass is discussed. Finally, we show that in a simple analytic approximation to the Higgs mass, the leading two-loop radiative corrections can be absorbed to a large extent into an effective one-loop expression by evaluating the running top quark mass at appropriately chosen energy scales.",M. Carena; H. E. Haber; S. Heinemeyer; W. Hollik; C. E. M. Wagner; G. Weiglein,hep-ph,hep-ph
astro-ph/0001002v1,On the inverse Compton scattering model of radio pulsars,"Some characteristics of the inverse Compton scattering (ICS) model are reviewed. At least the following properties of radio pulsars can be reproduced in the model: core or central emission beam, one or two hollow emission cones, different emission heights of these components, diverse pulse profiles at various frequencies, linear and circular polarization features of core and cones.",G. J. Qiao; R. X. Xu; J. F. Liu; J. L. Han; B. Zhang,astro-ph,astro-ph
math/0001003v2,New moduli spaces of pointed curves and pencils of flat connections,"It is well known that formal solutions to the Associativity Equations are the same as cyclic algebras over the homology operad $(H_*(\bar{M}_{0,n+1}))$ of the moduli spaces of $n$--pointed stable curves of genus zero. In this paper we establish a similar relationship between the pencils of formal flat connections (or solutions to the Commutativity Equations) and homology of a new series $\bar{L}_n$ of pointed stable curves of genus zero. Whereas $\bar{M}_{0,n+1}$ parametrizes trees of $\bold{P}^1$'s with pairwise distinct nonsingular marked points, $\bar{L}_n$ parametrizes strings of $\bold{P}^1$'s stabilized by marked points of two types. The union of all $\bar{L}_n$'s forms a semigroup rather than operad, and the role of operadic algebras is taken over by the representations of the appropriately twisted homology algebra of this union.",A. Losev; Yu. Manin,math.AG,math.AG; hep-th
nucl-ex/0001001v1,"Energy Dependence of the Near-Threshold Total Cross-Section for the pp
  --> pp eta' Reaction",Total cross sections for the pp --> pp eta' reaction have been measured in the excess energy range from Q = 1.53 MeV to Q = 23.64 MeV. The experiment has been performed at the internal installation COSY-11 using a stochastically cooled proton beam of the COoler SYnchrotron COSY and a hydrogen cluster target. The determined energy dependence of the total cross section weakens the hypothesis of the S-wave repulsive interaction between the eta' meson and the proton. New data agree well with predictions based on the phase-space distribution modified by the proton-proton final-state-interaction (FSI) only.,P. Moskal; H. -H. Adam; J. T. Balewski; V. Baru; A. Budzanowski; D. Grzonka; J. Haidenbauer; L. Jarczyk; A. Khoukaz; K. Kilian; M. Koehler; P. Kowina; A. Kudryavtsev; N. Lang; T. Lister; W. Oelert; C. Quentmeier; R. Santo; G. Schepers; T. Sefzick; S. Sewerin; M. Siemaszko; J. Smyrski; A. Strzalkowski; M. Wolke; P. Wuestner; W. Zipper,nucl-ex,nucl-ex
math/0001001v1,"Transversality theory, cobordisms, and invariants of symplectic
  quotients","This paper gives methods for understanding invariants of symplectic quotients. The symplectic quotients considered here are compact symplectic manifolds (or more generally orbifolds), which arise as the symplectic quotients of a symplectic manifold by a compact torus. (A companion paper examines symplectic quotients by a nonabelian group, showing how to reduce to the maximal torus.)   Let X be a symplectic manifold, with a Hamiltonian action of a compact torus T. The main topological result of this paper describes an explicit cobordism that exists between a symplectic quotient of X by T, and a collection of iterated projective bundles over components of the set of T-fixed-points.   The characteristic classes of these bundles can be determined explicitly, and another result uses this to give formulae for integrals of cohomology classes over the symplectic quotient, in terms of data localized at the T-fixed points of X.",Shaun Martin,math.SG,math.SG
math/0001002v1,Symplectic quotients by a nonabelian group and by its maximal torus,"This paper examines the relationship between the symplectic quotient X//G of a Hamiltonian G-manifold X, and the associated symplectic quotient X//T, where T is a maximal torus, in the case in which X//G is a compact manifold or orbifold.   The three main results are: a formula expressing the rational cohomology ring of X//G in terms of the rational cohomology ring of X//T; an `integration' formula, which expresses cohomology pairings on X//G in terms of cohomology pairings on X//T; and an index formula, which expresses the indices of elliptic operators on X//G in terms of indices on X//T.   (The results of this paper are complemented by the results in a companion paper, in which different techniques are used to derive formulae for cohomology pairings on symplectic quotients X//T, where T is a torus, in terms of the T-fixed points of X. That paper also gives some applications of the formulae proved here.)",Shaun Martin,math.SG,math.SG
hep-th/0001004v1,Moving Mirrors and Thermodynamic Paradoxes,"Quantum fields responding to ""moving mirrors"" have been predicted to give rise to thermodynamic paradoxes. I show that the assumption in such work that the mirror can be treated as an external field is invalid: the exotic energy-transfer effects necessary to the paradoxes are well below the scales at which the model is credible. For a first-quantized point-particle mirror, it appears that exotic energy-transfers are lost in the quantum uncertainty in the mirror's state. An accurate accounting of these energies will require a model which recognizes the mirror's finite reflectivity, and almost certainly a model which allows for the excitation of internal mirror modes, that is, a second-quantized model.",Adam D. Helfer,hep-th,hep-th; gr-qc
hep-ph/0001003v1,"The Lifetimes of Heavy Flavour Hadrons - a Case Study in Quark-Hadron
  Duality","The status of heavy quark expansions for charm and beauty lifetime ratios is reviewed. Taking note of the surprising semiquantitative success of this description for charm hadrons I interprete the new data on $\tau (D_s)$ and re-iterate the call for more precise measurements of $\tau (\Xi_c^{0,+})$ and $\tau (\Omega_c)$. A slightly larger $B^-$ than $B_d$ lifetime is starting to emerge as predicted; the largest lifetime difference in the beauty sector, namely in $\tau (B_c)$ vs. $\tau (B)$ has correctly been predicted; the problem posed by the short $\Lambda_b$ lifetime remains. The need for more accurate data also on $\tau (B_s)$ and $\tau (\Xi_b^{-,0})$ is emphasized. I discuss quark-hadron duality as the central theoretical issue at stake here.",I. I. Bigi,hep-ph,hep-ph
hep-ex/0001003v1,The E791 Parallel Architecture Data Acquisition System,"To collect data for the study of charm particle decays, we built a high speed data acquisition system for use with the E791 magnetic spectrometer at Fermilab. The DA system read out 24000 channels in 50 uS. Events were accepted at the rate of 9000 per second. Eight large FIFOs were used to buffer event segments, which were then compressed and formatted by 54 processors housed in 6 VME crates. Data was written continuously to 42 Exabyte tape drives at the rate of 9.6 Mb/s. During the 1991 fixed target run at Fermilab, 20 billion physics events were recorded on 24000 8 mm tapes; this 50 Tb (Terabyte) data set is now being analyzed.",S. Amato; J. R. T. de Mello; J. de Miranda; C. James; D. J. Summers; S. B. Bracker,hep-ex,hep-ex; physics.comp-ph
quant-ph/0001002v2,"Coherent states, displaced number states and Laguerre polynomial states
  for su(1,1) Lie algebra","The ladder operator formalism of a general quantum state for su(1,1) Lie algebra is obtained. The state bears the generally deformed oscillator algebraic structure. It is found that the Perelomov's coherent state is a su(1,1) nonlinear coherent state. The expansion and the exponential form of the nonlinear coherent state are given. We obtain the matrix elements of the su(1,1) displacement operator in terms of the hypergeometric functions and the expansions of the displaced number states and Laguerre polynomial states are followed. Finally some interesting su(1,1) optical systems are discussed.",Xiao-Guang Wang,quant-ph,quant-ph
quant-ph/0001003v2,Photon-added one-photon and two-photon nonlinear coherent states,"From the photon-added one-photon nonlinear coherent states $a^{\dagger m}|\alpha,f>$, we introduce a new type of nonlinear coherent states with negative values of $m.$ The nonlinear coherent states corresponding to the positive and negative values of $m$ are shown to be the result of nonunitarily deforming the number states $|m>$ and $|0>$, respectively. As an example, we study the sub-Poissonian statistics and squeezing effects of the photon-added geometric states with negative values of $m$ in detail. Finally we investigate the photon-added two-photon nonlinear coherent states and find that they are still the two-photon nonlinear coherent states with certain nonlinear functions.",Xiao-Guang Wang,quant-ph,quant-ph
astro-ph/0001003v2,Dark Halo and Disk Galaxy Scaling Laws in Hierarchical Universes,"We use cosmological N-body/gasdynamical simulations that include star formation and feedback to examine the proposal that scaling laws between the total luminosity, rotation speed, and angular momentum of disk galaxies reflect analogous correlations between the structural parameters of their surrounding dark matter halos. The numerical experiments follow the formation of galaxy-sized halos in two Cold Dark Matter dominated universes: the standard Omega=1 CDM scenario and the currently popular LCDM model. We find that the slope and scatter of the I-band Tully-Fisher relation are well reproduced in the simulations, although not, as proposed in recent work, as a result of the cosmological equivalence between halo mass and circular velocity: large systematic variations in the fraction of baryons that collapse to form galaxies and in the ratio between halo and disk circular velocities are observed in our numerical experiments. The Tully-Fisher slope and scatter are recovered in this model as a direct result of the dynamical response of the halo to the assembly of the luminous component of the galaxy. We conclude that models that neglect the self-gravity of the disk and its influence on the detailed structure of the halo cannot be used to derive meaningful estimates of the scatter or slope of the Tully-Fisher relation. Our models fail, however, to match the zero-point of the Tully-Fisher relation, as well as that of the relation linking disk rotation speed and angular momentum. These failures can be traced, respectively, to the excessive central concentration of dark halos formed in the Cold Dark Matter cosmogonies we explore and to the formation of galaxy disks as the final outcome of a sequence of merger events. (abridged)",Julio F. Navarro; Matthias Steinmetz,astro-ph,astro-ph
astro-ph/0001004v1,"Theory of the Interaction of Planetary Nebulae with the Interstellar
  Medium",The theory of the interaction of planetary nebulae with the interstellar medium is important for the interpretation of nebular morphologies that deviate from point symmetry. It can be used to probe the interstellar medium and its magnetic field. We emphasize in this review the role of hydrodynamical instabilities in the interaction.,Ruth Dgani,astro-ph,astro-ph
astro-ph/0001005v1,"Restrictions on parameters of power-law magnetic field decay for
  accreting isolated neutron stars","In this short note we discuss the influence of power-law magnetic field decay on the evolution of old accreting isolated neutron stars. We show, that, contrary to exponential field decay (Popov & Prokhorov 2000), no additional restrictions can be made for the parameters of power-law decay from the statistics of isolated neutron star candidates in ROSAT observations.   We also briefly discuss the fate of old magnetars with and without field decay, and describe parameters of old accreting magnetars.",S. B. Popov; M. E. Prokhorov,astro-ph,astro-ph
hep-ph/0001004v1,Bose Symmetry Interference Effects of $4π$ Final States,"We carefully analyze the relative branching ratios of $4\pi$ final states $\pi^+\pi^-\pi^+\pi^-$, $\pi^+\pi^-\pi^0\pi^0$ and $\pi^0\pi^0\pi^0\pi^0$, from various resonances of $J^{PC}=0^{++}$, $0^{-+}$, $2^{++}$. We find that the Bose symmetry interference effects would make their ratios to obviously differ from the naive counting values without considering these effects. The results should be applied to estimate correctly various $4\pi$ decay branching ratios of relevant resonances.",Jie Chen; Xue-Qian Li; Bing-Song Zou,hep-ph,hep-ph
cond-mat/0001005v1,Linear and nonlinear rheology of wormlike micelles,"Several surfactant molecules self-assemble in solution to form long, cylindrical, flexible wormlike micelles. These micelles can be entangled with each other leading to viscoelastic phases. The rheological properties of such phases are very interesting and have been the subject of a large number of experimental and theoretical studies in recent years. We shall report on our recent work on the macrorheology, microrheology and nonlinear flow behaviour of dilute aqueous solutions of a surfactant CTAT (Cetyltrimethylammonium Tosilate). This system forms elongated micelles and exhibits strong viscoelasticity at low concentrations ($\sim$ 0.9 wt%) without the addition of electrolytes. Microrheology measurements of $G(\omega)$ have been done using diffusing wave spectroscopy which will be compared with the conventional frequency sweep measurements done using a cone and plate rheometer. The second part of the paper deals with the nonlinear rheology where the measured shear stress $\sigma$ is a nonmonotonic function of the shear rate $\dot{\gamma}$. In stress-controlled experiments, the shear stress shows a plateau for $\dot{\gamma}$ larger than some critical strain rate, similar to the earlier reports on CPyCl/NaSal system. Cates et al have proposed that the plateau is a signature of mechanical instability in the form of shear bands. We have carried out extensive experiments under controlled strain rate conditions, to study the time-dependence of shear stress. The measured time series of shear stress has been analysed in terms of correlation integrals and Lyapunov exponents to show unambiguously that the behaviour is typical of low dimensional dynamical systems.",A. K. Sood; Ranjini Bandyopadhyay; Geetha Basappa,cond-mat.soft,cond-mat.soft
nucl-th/0001001v1,Exploring vector meson masses in nuclear collisions,"The formalism developed earlier by us for the propagation of a resonance in the nuclear medium in proton-nucleus collisions has been modified to the case of vector boson production in heavy-ion collisions. The first part of the talk describes this formalism. The formalism includes coherently the contribution to the observed di-lepton production from the decay of a vector boson inside as well as outside the nuclear medium. The calculated invariant rho mass distributions are presented for the $\rho $-meson production using optical potentials estimated within the VDM and the resonance model.   In the second part of the talk we write a formalism for coherent rho production in proton nucleus collisions and explore the sensitivity of the (p,p$^\prime \rho ^0$) reaction cross section to medium mass modification of the rho meson.",B. K. Jain; Swapan Das; Bijoy Kundu,nucl-th,nucl-th
math-ph/0001001v1,"Normal Ordering for Deformed Boson Operators and Operator-valued
  Deformed Stirling Numbers","The normal ordering formulae for powers of the boson number operator $\hat{n}$ are extended to deformed bosons. It is found that for the `M-type' deformed bosons, which satisfy $a a^{\dagger} - q a^{\dagger} a = 1$, the extension involves a set of deformed Stirling numbers which replace the Stirling numbers occurring in the conventional case. On the other hand, the deformed Stirling numbers which have to be introduced in the case of the `P-type' deformed bosons, which satisfy $a a^{\dagger} - q a^{\dagger} a = q^{-\hat{n}}$, are found to depend on the operator $\hat{n}$. This distinction between the two types of deformed bosons is in harmony with earlier observations made in the context of a study of the extended Campbell-Baker-Hausdorff formula.",Jacob Katriel; Maurice Kibler,math-ph,math-ph; math.MP; quant-ph
hep-th/0001005v1,Bundles of chiral blocks and boundary conditions in CFT,"Various aspects of spaces of chiral blocks are discussed. In particular, conjectures about the dimensions of irreducible sub-bundles are reviewed and their relation to symmetry breaking conformal boundary conditions is outlined.",J. Fuchs; C. Schweigert,hep-th,hep-th
astro-ph/0001006v1,On the Clustering of GRBs on the Sky,The two-point correlation of the 4th (current) BATSE catalog (2494 objects) is calculated. It is shown to be consistent with zero at nearly all angular scales of interest. Assuming that GRBs trace the large scale structure in the universe we calculate the angular correlation function for the standard CDM (sCDM) model. It is shown to be $\le 10^{-4}$ at $\theta \simeq 5^\circ$ if the BATSE catalog is assumed to be a volume-limited sample up to $z \simeq 1$. Combined with the error analysis on the BATSE catalog this suggests that nearly $10^5$ GRBs will be needed to make a positive detection of the two-point angular correlation function at this angular scale.,Shiv K. Sethi; S. G. Bhargavi; Jochen Greiner,astro-ph,astro-ph
hep-ph/0001006v1,Neutrino Masses and Lepton-Quark Symmetries,"The recent discovery by SuperKamiokande of evidence for neutrino masses requires the addition of at least seven new parameters to the Standard Model. We discuss the general theoretical schemes which require their inclusion, and point out how quark-lepton symmetries, either in the framework of Grand Unification, or of string theories, can be used to determine them",P. Ramond,hep-ph,hep-ph
hep-ph/0001007v1,Introduction to Neutrinos,"We discuss current theoretical and experimental issues associated with the recent SuperKamiokande discovery. We survey theoretical models for predictings the new Standard Model parameters needed to explain this discovery, and point out how quark-lepton symmetries, either in the framework of Grand Unification, or of string theories, can be used to determine them.",P. Ramond,hep-ph,hep-ph
hep-ph/0001008v1,Charmonium Production from the Secondary Collisions at LHC Energy,"We consider the charmonium production in thermalized hadronic medium created in ultrarelativistic heavy ion collisions at LHC energy.   The calculations for the secondary $J/\psi$ and $\psi^,$ production by $D\bar D$ annihilation are performed within a kinetic model taking into account the space-time evolution of a longitudinally and transversely expanding medium. We show that the secondary charmonium production appears almost entirely during the mixed phase and it is very sensitive to the charmonium dissociation cross section with co-moving hadrons. Within the most likely scenario for the dissociation cross section of the $J/\psi$ mesons their regeneration in the hadronic medium will be negligible. The secondary production of $\psi^,$ mesons however, due to their large cross section above the threshold, can substantially exceed the primary yield.",P. Braun-Munzinger; K. Redlich,hep-ph,hep-ph
hep-ph/0001009v1,Neutrinos: Heralds of New Physics,"The central role of neutrinos in the determination of fundamental interactions is reviewed. The recent SuperKamiokande discovery of neutrino mass gives an {\it aper\c cu} of physics at short distances, and tests theories of flavor. Quark-lepton symmetries, derived from grand unification and/or string theories, can help determine the standard model parameters in the neutrino sector.",P. Ramond,hep-ph,hep-ph
hep-ph/0001010v1,From Neutrino Masses to Proton Decay,"Current theoretical and experimental issues are reviewed in the light of the recent SuperKamiokande discovery. By using quark-lepton symmetries, derived from Grand Unification and/or string theories, we show how to determine the necessary neutrino parameters. In addition, the seesaw neutrino masses set the scale for the proton decay operators by ``measuring'' the standard model cut-off. The SuperKamiokande values suggest that proton decay is likely to be observed early in the XXIst Century.",P. Ramond,hep-ph,hep-ph
